,0
0,0.00016117134640038116
1,2.3959656856295064e-06
2,2.214227098315171e-06
3,2.236563501197048e-06
4,2.170305858852035e-06
5,2.2374473163844717e-06
6,2.169026572451365e-06
7,2.189092974737995e-06
8,2.0948887310303254e-06
9,2.132192539846939e-06
10,2.09521604163871e-06
11,2.1090750999021674e-06
12,2.0943372148795583e-06
13,2.080866383945623e-06
14,2.0783669332782877e-06
15,2.07152443460374e-06
16,2.084797824798636e-06
17,2.07017030798641e-06
18,2.0682068048204976e-06
19,2.090098746684333e-06
20,2.0622379814957713e-06
21,2.0913075068472063e-06
22,2.076357799251715e-06
23,2.069723859121774e-06
24,2.062395220430733e-06
25,2.0623743437568093e-06
26,2.0613701475927622e-06
27,2.0674810231517057e-06
28,2.05672129088789e-06
29,2.068071875764454e-06
30,2.045044843624718e-06
31,2.045100303132806e-06
32,2.045198712597797e-06
33,2.0452088555366906e-06
34,2.0451239022514767e-06
35,2.0452283092888514e-06
36,2.0450894291867295e-06
37,2.044936262085011e-06
38,2.0448889259217854e-06
39,2.0448618858379657e-06
40,2.044753388522821e-06
41,2.0446364325968214e-06
42,2.044681596141736e-06
43,2.0446810037949534e-06
44,2.044657601445102e-06
45,2.0446072061021026e-06
46,2.044544801005618e-06
47,2.0446182813873236e-06
48,2.0444659269057365e-06
49,2.0445111841423163e-06
50,2.043753772559076e-06
51,2.0437624463832775e-06
52,2.0437792813391367e-06
53,2.0437722765813514e-06
54,2.043768193811973e-06
55,2.04376241904294e-06
56,2.0437652310987048e-06
57,2.043763431125118e-06
58,2.043765168256734e-06
59,2.0437411745394555e-06
